"objectid","title","category ","creator","date","subject","Municipio","Region ","Pais","location","format","language","rights","rightsstatement","display_template","object_location","image_small","image_thumb","","","","","",""
"Q_E1_25-03-2022_01","Cómo mujer negra cuál es tu mayor motivación e inspiración","Pregunta","Negra Callejera ","2022-03-25","Identidad; Motivación ","Buenaventura","Valle del cauca","Colombia ","Buenaventura; Valle del cauca, Colombia ","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_01.mp4","/objects/small/Q_E1_25-03-2022_01_small.png","/objects/thumbs/Q_E1_25-03-2022_01_thumbs.png","","","","","",""
"Q_E1_25-03-2022_02","En una sociedad racista, basta con no ser racista ","Pregunta","Negra Callejera ","2022-03-25","Racismo; Sociedad ","Buenaventura","Valle del cauca","Colombia ","Buenaventura; Valle del cauca, Colombia ","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_02.mp4","/objects/small/Q_E1_25-03-2022_02_small.png","/objects/thumbs/Q_E1_25-03-2022_02_thumbs.png","","","","","",""
"Q_E1_25-03-2022_03","De que manera mi entorno ha influenciado para no aceptar el cabello afro (rizado) ","Pregunta","Negra Callejera ","2022-03-25","Cabello afo; Cabello; Entorno; Contexto ","Buenaventura","Valle del cauca","Colombia ","Buenaventura; Valle del cauca, Colombia ","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_03.mp4","/objects/small/Q_E1_25-03-2022_03_small.png","/objects/thumbs/Q_E1_25-03-2022_03_thumbs.png","","","","","",""
"Q_E1_25-03-2022_04","Ten han interiorizado por ser negra, o te han hecho creer que por serlo no puedes ocupar un cargo importante ","Pregunta","Negra Callejera ","2022-03-25","Inferiorizar; Tabajo; Contexto ","Quibdó","Chocó","Colombia ","Quibdó; Chocó; Colombia ","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_04.mp4","/objects/small/Q_E1_25-03-2022_04_small.png","/objects/thumbs/Q_E1_25-03-2022_04_thumbs.png","","","","","",""
"Q_E1_25-03-2022_05","Te has sentido discriminada o que no encajas porque tienes un tono de piel muy claro para ser negra o muy negra para ser blanca ","Pregunta","Negra Callejera ","2022-03-25","Discriminación; Tez clara; Entorno ","Quibdó","Chocó","Colombia ","Quibdó; Chocó; Colombia ","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_05.mp4","/objects/small/Q_E1_25-03-2022_05_small.png","/objects/thumbs/Q_E1_25-03-2022_05_thumbs.png","","","","","",""
"Q_E1_25-03-2022_06","Sabes algún remedio artesanal (ancestral)","Pregunta","Negra Callejera ","2022-03-25","Medicina; Ancestralidad; Historia ","Quibdó","Chocó","Colombia ","Quibdó; Chocó; Colombia ","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_06.mp4","/objects/small/Q_E1_25-03-2022_06_small.png","/objects/thumbs/Q_E1_25-03-2022_06_thumbs.png","","","","","",""
"Q_E1_25-03-2022_07","Te has sentido abusada por ser afrodescendiente ","Pregunta","Negra Callejera ","2022-03-25","Discriminación; Abusada; Violentada; Contexto social ","Quibdó","Chocó","Colombia ","Quibdó; Chocó; Colombia ","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_07.mp4","/objects/small/Q_E1_25-03-2022_07_small.png","/objects/thumbs/Q_E1_25-03-2022_07_thumbs.png","","","","","",""
"Q_E1_25-03-2022_08","Un estereotipo de belleza: ha sido que la mujer negra para considerarse bella debe tener la piel clara. De qué manera ha influenciado tu seno familiar para que esto repercuta en tu identidad","Pregunta","Negra Callejera ","2022-03-25","Familia; Belleza; Piel clara; Contexto social ","Santa Cecilia ","Risaralda","Colombia ","Santa Cecialia; Risaralda; Colombia","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_08.mp4","/objects/small/Q_E1_25-03-2022_08_small.png","/objects/thumbs/Q_E1_25-03-2022_08_thumbs.png","","","","","",""
"Q_E1_25-03-2022_09","El cambio siempre debe iniciar por cada persona. Qué cambios deben suceder en ti para hacer que la sociedad te vea como tú quieres que te vean","Pregunta","Negra Callejera ","2022-03-25","Cambio; Identidad; Auto-identidad; Sociedad","Santa Cecilia ","Risaralda","Colombia ","Santa Cecialia; Risaralda; Colombia","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_09.mp4","/objects/small/Q_E1_25-03-2022_09_small.png","/objects/thumbs/Q_E1_25-03-2022_09_thumbs.png","","","","","",""
"Q_E1_25-03-2022_10","Creé tu, que los estereotipos (historicos) racistas tales como: aclarar la raza, usted tiene qué ser mejor que las otras mujeres, sus hijos deben ser de cabello liso, no Chontudo. Fueron usados para la formación de las mujeres en la actualidad","Pregunta","Negra Callejera ","2022-03-25","Estereotipos; Racismo; Mejorar la raza; Historia; Educación; Contexto social ","Quibdó","Chocó","Colombia ","Quibdó; Chocó; Colombia ","video/mp4","spa","En Copyright - Uso educativo permitido. Para más información, póngase en contacto con el proyecto Negra Callejera. s.mosquerad@uniandes.edu.co","","video ","/objects/video/Q_E1_25-03-2022_10.mp4","/objects/small/Q_E1_25-03-2022_10_small.png","/objects/thumbs/Q_E1_25-03-2022_10_thumbs.png","","","","","",""
